review_id,created_at,updated_at,product_id,user_id,review,is_deleted,source,sentiment
5e73c9ea-b991-422e-826d-b64b4de14fb1,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Áo bao đẹp ạ!!,False,csv_upload,POS
78abb617-ece7-4ac0-87e7-0b45f64fef52,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Tuyệt vời !,False,csv_upload,POS
4dd48c45-696d-43d1-b58a-1fa3529d2893,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,2day ao khong giong trong.,False,csv_upload,NEG
8a929976-929e-4f6c-b048-2453f10b4bd8,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,"Mùi thơm,bôi lên da mềm da.",False,csv_upload,POS
546fd462-e7ea-490f-b59b-14a9d1b24a13,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,"Vải đẹp, dày dặn.",False,csv_upload,POS
fda05c43-3184-45a8-8606-1e871c215c7b,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,"Hàng rất đẹp, rất chi là ưng ý.",False,csv_upload,POS
2c4d6c4a-2886-4fab-9832-c752853b6458,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,"Chất lượng sản phẩm tốt, date dài.",False,csv_upload,POS
c2a953e2-2bdd-4251-892f-96dc6f9165da,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Ăn nói và thái độ phục vụ tốt.,False,csv_upload,POS
bd3960ce-5fa3-4c04-adff-af26ebb6d862,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Đóng gói sản phẩm chắc chắn.,False,csv_upload,POS
586842fc-864d-4954-9429-7a2bd7a4025c,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,tất sờn hết ca chưa dùng mà vay r.,False,csv_upload,NEG
a178b95b-6de9-4677-ace1-befc8a10fac5,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Shop phục vụ rất tốt.,False,csv_upload,POS
721324a7-c765-41d1-aef0-95d5e1394c89,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Mặc thì cũng đc.,False,csv_upload,NEU
0f065f8c-b57f-4f24-aab3-27bf1246bea0,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Chất vải khỏi chê.,False,csv_upload,POS
d41098c0-ed30-4253-a0bf-f7ebbfb80a77,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Thời gian giao hàng rất nhanh.,False,csv_upload,POS
fbbd9022-027d-45ce-a5e3-bf66e94705b8,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Chất lượng sản phẩm tuyệt vời.,False,csv_upload,POS
e01d2491-2256-4420-943d-d75d5036b2f7,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,vải hơi thô cứng Thời gian giao hàng nhanh.,False,csv_upload,POS
9adb34ac-6613-406d-85d0-f2b752a697f7,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Chất lượng sp chưa thật sự đẹp nhe shop!,False,csv_upload,POS
3abbad51-3e01-4776-8d08-f75d1577b0ec,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Rất đáng tiền Thời gian giao hàng rất nhanh.,False,csv_upload,POS
8ca2a887-8733-49b4-82c6-7290654737f2,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Quần rất đẹp mặc vừa vặn.,False,csv_upload,POS
a3040271-c5a0-4a63-a57b-d57027c6f6bb,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Cảm giác mua hàng bị hớ thật tệ!,False,csv_upload,NEG
7819e3e9-cf2a-4394-9c4c-dd5c130f773b,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Khi mua về nên đi sửa lại.,False,csv_upload,NEG
b4541ebf-785c-427c-a977-4a736189034b,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Với giá này thì sản phẩm tạm ổn chưa đc gọi là đẹp lắm.,False,csv_upload,NEU
ced36cf4-3d4e-4703-a7d4-d2d1c900e96c,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời.,False,csv_upload,POS
1ff7d295-b508-4f6a-80fd-6fc8e3a787a2,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Giá cả chấp nhận được.,False,csv_upload,POS
66ae78da-f9ef-45c4-ac4f-cf467827047c,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,Nchung là rất ổn ❤️.,False,csv_upload,POS
b1a2fce0-3739-4977-b565-3804af4603b7,2025-10-01 00:27:06.574314,2025-10-01 00:27:06.574610,undefined,undefined,"Áo quá đẹp luôn nếu không muốn nói là đẹp, may quá có áo mới đi làm cty mới, shop còn mẫu nào trắng nữa để mình mua.",False,csv_upload,POS
